 1401-003 SAN LUIS, ISLA                 MEXICO                29.814 -114.384    180 TUFF CONE            HOLOCENE                U  
 1401-11= SAN MARTIN                     MEXICO                18.572  -95.169   1650 SHIELD VOLCANO       HISTORICAL              D4 
 1403-10= SAN MIGUEL                     EL SALVADOR           13.431  -88.272   2130 STRATOVOLCANO        HISTORICAL              D1 
 1401-002 SAN QUINTIN VOLC FIELD         MEXICO                30.468 -115.996    260 CINDER CONES         HOLOCENE                U  
 1403-05= SAN SALVADOR                   EL SALVADOR           13.736  -89.286   1893 STRATOVOLCANO        HISTORICAL              D2 
 1403-07= SAN VICENTE                    EL SALVADOR           13.623  -88.852   2182 STRATOVOLCANO        HOLOCENE                U  
 1401-023 SANGANGUEY                     MEXICO                21.450 -104.730   2340 STRATOVOLCANO        HOLOCENE                U  
 1403-02= SANTA ANA                      EL SALVADOR           13.853  -89.630   2365 STRATOVOLCANO        HISTORICAL              D2 
 1402-03= SANTA MARIA                    GUATEMALA             14.756  -91.552   3772 STRATOVOLCANO        HISTORICAL              D1 
 1402-16- SANTIAGO, CERRO                GUATEMALA             14.330  -89.870   1192 VOLCANIC FIELD       HOLOCENE                U  
 1402-05= SANTO TOMAS                    GUATEMALA             14.710  -91.479   3542 STRATOVOLCANOES      PLEISTOCENE-FUMAROLIC   Q  
 1401-092 SERDAN-ORIENTAL                MEXICO                19.270  -97.470   3485 TUFF CONES           HOLOCENE                U  
 1403-002 SINGUIL, CERRO                 EL SALVADOR           14.030  -89.700    957 CINDER CONES         HOLOCENE                U  
 1401-021 SOCORRO                        MEXICO-IS             18.780 -110.950   1050 SHIELD VOLCANO       HISTORICAL              D1 
 1402-17- SUCHITAN VOLC FIELD            GUATEMALA             14.400  -89.780   2042 STRATOVOLCANOES      HOLOCENE                U  
 1403-072 TABURETE                       EL SALVADOR           13.435  -88.532   1172 STRATOVOLCANO        HOLOCENE                U  
 1401-13= TACANA                         MEXICO                15.130  -92.112   4110 STRATOVOLCANO        HISTORICAL              D1 
 1402-02= TAJUMULCO                      GUATEMALA             15.034  -91.903   4220 STRATOVOLCANO        HOLOCENE                U  
 1403-08= TECAPA                         EL SALVADOR           13.494  -88.502   1593 STRATOVOLCANO        HOLOCENE                U  
 1402-12= TECUAMBURRO                    GUATEMALA             14.156  -90.407   1845 STRATOVOLCANO        RADIOCARBON             D7 
 1404-04= TELICA                         NICARAGUA             12.602  -86.845   1061 STRATOVOLCANOES      HISTORICAL              D1 
 1403-13- TIGRE, ISLA EL                 HONDURAS              13.270  -87.630    760 STRATOVOLCANO        HOLOCENE                U  
 1402-07= TOLIMAN                        GUATEMALA             14.612  -91.189   3158 STRATOVOLCANO        HOLOCENE                U  
 1401-07- TOLUCA, NEVADO DE              MEXICO                19.108  -99.758   4690 STRATOVOLCANO        RADIOCARBON             D7 
 1401-011 TORTUGA, ISLA                  MEXICO                27.392 -111.858    210 SHIELD VOLCANO       HOLOCENE                U  
 1401-01= TRES VIRGENES                  MEXICO                27.470 -112.591   1940 STRATOVOLCANOES      RADIOCARBON             D7 
 1401-008 UNNAMED                        MEXICO                28.000 -115.000        SUBMARINE VOLCANO ?  UNCERTAIN               ?  
 1403-081 USULUTAN                       EL SALVADOR           13.419  -88.471   1449 STRATOVOLCANO        HOLOCENE                U  
 1403-16- UTILA ISLAND                   HONDURAS              16.100  -86.900     90 PYROCLASTIC CONES    HOLOCENE                U  
 1403-15- YOJOA, LAKE                    HONDURAS              14.980  -87.980   1090 VOLCANIC FIELD       HOLOCENE                U  
 1403-14- ZACATE GRANDE, ISLA            HONDURAS              13.330  -87.630    600 STRATOVOLCANO        HOLOCENE                U  
 1210-02- ZUNI-BANDERA                   US-NEW MEXICO         34.800 -108.000   2550 VOLCANIC FIELD       ANTHROPOLOGY            D7 
